date,close
2008-10-01,169.0270
2008-11-01,174.3020
2008-12-01,177.8600
2009-01-01,176.5600
2009-02-01,177.1000
2009-03-01,177.4711
2009-04-01,176.1800
2009-05-01,175.3500
2009-06-01,174.3500
2009-07-01,177.4800
2009-08-01,178.2000
2009-09-01,180.4500
2009-10-01,179.8600
2009-11-01,181.2500
2009-12-01,179.0744
2010-01-01,180.3300
2010-02-01,181.1000
2010-03-01,181.0600
2010-04-01,181.8300
2010-05-01,184.5000
2010-06-01,185.3500
2010-07-01,186.5596
2010-08-01,189.8800
2010-09-01,189.5500
2010-10-01,188.8700
2010-11-01,186.6500
2010-12-01,185.2627
2011-01-01,184.6300
2011-02-01,184.3200
2011-03-01,184.1400
2011-04-01,185.9600
2011-05-01,187.5600
2011-06-01,187.3300
2011-07-01,189.4800
2011-08-01,193.1800
2011-09-01,195.9700
2011-10-01,194.2700
2011-11-01,194.8000
2011-12-01,196.9500
2012-01-01,198.1500
2012-02-01,198.8100
2012-03-01,198.9300
2012-04-01,198.9600
2012-05-01,201.9400
2012-06-01,201.3700
2012-07-01,203.2700
2012-08-01,203.1900
2012-09-01,203.7200
2012-10-01,203.7100
2012-11-01,205.1600
2012-12-01,204.7452
2013-01-01,203.3800
2013-02-01,204.6000
2013-03-01,206.0600
2013-04-01,208.1400
2013-05-01,204.5200
2013-06-01,202.6300
2013-07-01,202.9300
2013-08-01,202.1600
2013-09-01,203.5000
2013-10-01,204.8600
2013-11-01,204.6600
2013-12-01,203.0576
2014-01-01,206.3800
2014-02-01,207.2400
2014-03-01,207.2600
2014-04-01,208.2400
2014-05-01,210.4600
2014-06-01,210.9200
2014-07-01,211.8600
2014-08-01,214.4700
2014-09-01,213.8600
2014-10-01,215.0600
2014-11-01,217.1400
2014-12-01,219.3803
2015-01-01,224.7200
2015-02-01,222.4500
2015-03-01,224.0300
2015-04-01,221.7800
2015-05-01,220.6400
2015-06-01,217.8900
2015-07-01,220.4900
2015-08-01,219.8900
2015-09-01,221.7100
2015-10-01,221.8400
2015-11-01,221.6600
2015-12-01,221.0338
2016-01-01,225.4900
2016-02-01,228.1300
2016-03-01,229.1100
2016-04-01,228.4400
2016-05-01,229.2500
2016-06-01,235.3700
2016-07-01,235.0600
2016-08-01,233.9100
2016-09-01,233.4100
2016-10-01,229.8800
2016-11-01,225.6300
2016-12-01,225.9100
2017-01-01,223.9600
2017-02-01,225.5200
2017-03-01,224.9200
2017-04-01,225.8000
2017-05-01,226.6500
2017-06-01,225.2400
2017-07-01,225.4600
2017-08-01,227.3000
2017-09-01,225.7600
2017-10-01,225.8900
2017-11-01,226.1800
2017-12-01,225.6400
2018-01-01,223.3600
2018-02-01,223.1000
2018-03-01,225.6700
2018-04-01,223.8700
2018-05-01,223.6800
2018-06-01,224.1150
2018-07-01,222.8200
2018-08-01,222.9800
2018-09-01,221.1400
2018-10-01,221.0700
2018-11-01,222.0000
2018-12-01,224.8300
2019-01-01,225.9700
2019-02-01,225.4300
2019-03-01,229.1200
2019-04-01,227.9100
2019-05-01,231.1900
2019-06-01,234.0900
2019-07-01,235.4500
2019-08-01,241.9200
2019-09-01,239.6700
2019-10-01,238.0100
2019-11-01,236.4200
2019-12-01,235.0500
2020-01-01,239.6300
2020-02-01,242.8700
2020-03-01,242.9700
2020-04-01,244.8000
2020-05-01,244.1200
2020-06-01,244.4000
2020-07-01,246.6900
2020-08-01,243.3700
2020-09-01,244.9600
2020-10-01,244.6900
2020-11-01,244.8700
2020-12-01,244.8200
2021-01-01,242.9900
2021-02-01,237.3400
2021-03-01,237.2200
2021-04-01,236.7800
2021-05-01,236.8500
2021-06-01,238.1500
2021-07-01,241.6900
2021-08-01,240.7700
2021-09-01,237.4400
2021-10-01,237.0700
2021-11-01,239.5900
2021-12-01,237.0000
2022-01-01,233.3300
2022-02-01,230.5800
2022-03-01,225.1200
2022-04-01,218.4700
2022-05-01,216.5200
2022-06-01,213.1600
2022-07-01,218.1100
2022-08-01,210.8600
2022-09-01,203.6500
2022-10-01,202.2200
2022-11-01,205.0400
2022-12-01,201.2000
2023-01-01,205.0600
2023-02-01,201.1600
2023-03-01,205.9000
2023-04-01,206.3800
2023-05-01,204.6900
2023-06-01,204.0500
2023-07-01,202.6600
2023-08-01,201.7900
2023-09-01,197.3500
2023-10-01,196.0850
2023-11-01,202.0400
2023-12-01,208.3600
2024-01-01,207.1700
2024-02-01,205.1000
2024-03-01,206.4900
2024-04-01,202.3600
2024-05-01,203.0300
2024-06-01,204.6500
2024-07-01,208.6000
2024-08-01,210.4000
2024-09-01,211.9500
2024-10-01,208.3900
2024-11-01,210.4800
2024-12-01,207.5000
2025-01-01,207.9300
2025-02-01,210.2400
2025-03-01,208.6300
2025-04-01,211.0800
2025-05-01,208.7900
2025-06-01,209.8600
2025-07-01,208.5700
2025-08-01,209.1500
2025-09-01,210.4100
2025-10-01,211.9900
2025-11-01,211.7800
2025-12-01,210.1600
2026-01-01,210.3300
2026-02-01,213.4500
2026-03-01,208.7900
2026-04-01,208.3600
2026-05-01,209.2900
2026-06-01,210.1400
