date,close
2021-05-01,5.2419
2021-06-01,5.2740
2021-07-01,5.3290
2021-08-01,5.3138
2021-09-01,5.2549
2021-10-01,5.2470
2021-11-01,5.2806
2021-12-01,5.2482
2022-01-01,5.1584
2022-02-01,5.0787
2022-03-01,4.9750
2022-04-01,4.8294
2022-05-01,4.8118
2022-06-01,4.7270
2022-07-01,4.8454
2022-08-01,4.7072
2022-09-01,4.5416
2022-10-01,4.5094
2022-11-01,4.5980
2022-12-01,4.5429
2023-01-01,4.6292
2023-02-01,4.5365
2023-03-01,4.6248
2023-04-01,4.6377
2023-05-01,4.6096
2023-06-01,4.6008
2023-07-01,4.5961
2023-08-01,4.5805
2023-09-01,4.4992
2023-10-01,4.4564
2023-11-01,4.6017
2023-12-01,4.7421
2024-01-01,4.7263
2024-02-01,4.6908
2024-03-01,4.7210
2024-04-01,4.6365
2024-05-01,4.6662
2024-06-01,4.7091
2024-07-01,4.7812
2024-08-01,4.8377
2024-09-01,4.8806
2024-10-01,4.8029
2024-11-01,4.8548
2024-12-01,4.8198
2025-01-01,4.8291
2025-02-01,4.8693
2025-03-01,4.8459
2025-04-01,4.8768
2025-05-01,4.8530
2025-06-01,4.8855
2025-07-01,4.8805
2025-08-01,4.8912
2025-09-01,4.9221
2025-10-01,4.9490
2025-11-01,4.9470
2025-12-01,4.9370
2026-01-01,4.9388
2026-02-01,4.9986
2026-03-01,4.9001
2026-04-01,4.9114
2026-05-01,4.9320
2026-06-01,4.9510
