date,close
2011-05-01,52.9600
2011-06-01,75.0636
2011-07-01,73.5811
2011-08-01,47.4000
2011-09-01,46.0500
2011-10-01,49.5300
2011-11-01,49.7500
2011-12-01,66.5476
2012-01-01,53.7200
2012-02-01,55.3200
2012-03-01,55.7800
2012-04-01,55.3500
2012-05-01,54.0000
2012-06-01,55.2100
2012-07-01,57.9100
2012-08-01,57.9300
2012-09-01,58.1500
2012-10-01,57.2900
2012-11-01,58.1400
2012-12-01,77.6363
2013-01-01,59.8200
2013-02-01,62.0200
2013-03-01,64.5400
2013-04-01,64.3900
2013-05-01,65.9900
2013-06-01,63.5700
2013-07-01,65.3800
2013-08-01,64.1300
2013-09-01,65.8300
2013-10-01,68.4600
2013-11-01,69.5000
2013-12-01,96.0449
2014-01-01,68.1100
2014-02-01,69.9800
2014-03-01,69.9800
2014-04-01,70.1200
2014-05-01,73.1000
2014-06-01,74.4300
2014-07-01,75.1600
2014-08-01,78.1500
2014-09-01,79.0800
2014-10-01,80.2300
2014-11-01,82.2500
2014-12-01,100.2943
2015-01-01,3.5128
2015-02-01,3.7344
2015-03-01,3.8464
2015-04-01,3.8084
2015-05-01,3.8744
2015-06-01,3.7392
2015-07-01,3.8036
2015-08-01,3.4832
2015-09-01,3.3612
2015-10-01,3.6796
2015-11-01,3.8160
2015-12-01,3.9483
2016-01-01,3.4108
2016-02-01,3.4248
2016-03-01,3.4868
2016-04-01,3.5088
2016-05-01,3.6360
2016-06-01,3.6200
2016-07-01,3.7596
2016-08-01,3.7872
2016-09-01,3.8048
2016-10-01,3.8272
2016-11-01,4.0180
2016-12-01,4.1156
2017-01-01,4.0952
2017-02-01,4.3028
2017-03-01,4.3304
2017-04-01,4.3048
2017-05-01,4.2396
2017-06-01,4.2120
2017-07-01,4.1808
2017-08-01,4.1536
2017-09-01,4.2632
2017-10-01,4.4108
2017-11-01,4.3952
2017-12-01,4.4636
2018-01-01,4.5232
2018-02-01,4.4432
2018-03-01,4.2832
2018-04-01,4.4360
2018-05-01,4.5856
2018-06-01,4.5732
2018-07-01,4.6752
2018-08-01,4.7448
2018-09-01,4.7688
2018-10-01,4.5112
2018-11-01,4.5416
2018-12-01,4.1640
2019-01-01,4.5040
2019-02-01,4.6640
2019-03-01,4.7664
2019-04-01,4.9272
2019-05-01,4.6688
2019-06-01,4.8440
2019-07-01,5.0168
2019-08-01,4.9096
2019-09-01,5.0584
2019-10-01,5.0624
2019-11-01,5.2768
2019-12-01,5.3984
2020-01-01,5.3608
2020-02-01,4.9192
2020-03-01,4.3232
2020-04-01,4.7552
2020-05-01,4.8304
2020-06-01,4.9328
2020-07-01,4.9304
2020-08-01,5.2032
2020-09-01,5.1600
2020-10-01,5.0424
2020-11-01,5.5344
2020-12-01,5.6896
2021-01-01,5.7576
2021-02-01,5.9208
2021-03-01,6.2624
2021-04-01,6.3472
2021-05-01,6.3304
2021-06-01,6.5928
2021-07-01,6.6424
2021-08-01,6.8344
2021-09-01,6.6960
2021-10-01,7.0264
2021-11-01,7.0296
2021-12-01,7.2696
2022-01-01,6.9432
2022-02-01,6.8128
2022-03-01,7.0840
2022-04-01,6.9240
2022-05-01,6.7072
2022-06-01,6.2880
2022-07-01,6.8576
2022-08-01,6.7560
2022-09-01,6.3408
2022-10-01,6.5968
2022-11-01,6.7000
2022-12-01,6.3304
2023-01-01,6.6648
2023-02-01,6.6688
2023-03-01,6.6560
2023-04-01,6.6320
2023-05-01,6.7728
2023-06-01,7.0336
2023-07-01,7.2000
2023-08-01,7.1344
2023-09-01,7.0184
2023-10-01,6.7488
2023-11-01,7.1280
2023-12-01,7.4408
2024-01-01,7.6280
2024-02-01,7.8936
2024-03-01,8.1920
2024-04-01,8.0420
2024-05-01,8.1180
2024-06-01,8.4920
2024-07-01,8.5300
2024-08-01,8.4800
2024-09-01,8.6240
2024-10-01,8.6900
2024-11-01,9.2820
2024-12-01,9.1460
2025-01-01,9.5420
2025-02-01,9.3160
2025-03-01,8.6240
2025-04-01,8.2660
2025-05-01,8.7740
2025-06-01,8.8700
2025-07-01,9.2960
2025-08-01,9.2960
2025-09-01,9.5440
2025-10-01,9.9580
2025-11-01,9.9220
2025-12-01,9.9780
2026-01-01,10.1240
2026-02-01,10.3180
2026-03-01,9.7660
2026-04-01,10.6080
2026-05-01,11.2480
2026-06-01,11.4600
