date,close
2023-06-01,4.9350
2023-07-01,5.0840
2023-08-01,5.0410
2023-09-01,4.9705
2023-10-01,4.8030
2023-11-01,5.0740
2023-12-01,5.2720
2024-01-01,5.4130
2024-02-01,5.6150
2024-03-01,5.8180
2024-04-01,5.7410
2024-05-01,5.8100
2024-06-01,6.0810
2024-07-01,6.0920
2024-08-01,6.0680
2024-09-01,6.1730
2024-10-01,6.2310
2024-11-01,6.6410
2024-12-01,6.5740
2025-01-01,6.8800
2025-02-01,6.6940
2025-03-01,6.2090
2025-04-01,5.9610
2025-05-01,6.3270
2025-06-01,6.3920
2025-07-01,6.6960
2025-08-01,6.6690
2025-09-01,6.8670
2025-10-01,7.1630
2025-11-01,7.1290
2025-12-01,7.1670
2026-01-01,7.2440
2026-02-01,7.3790
2026-03-01,6.9800
2026-04-01,7.5850
2026-05-01,8.0370
2026-06-01,8.1030
