date,close
2018-04-01,4.2485
2018-05-01,4.5215
2018-06-01,4.4985
2018-07-01,4.5175
2018-08-01,4.6485
2018-09-01,4.5945
2018-10-01,4.2550
2018-11-01,4.2650
2018-12-01,3.8410
2019-01-01,4.2275
2019-02-01,4.4325
2019-03-01,4.4490
2019-04-01,4.6005
2019-05-01,4.3245
2019-06-01,4.4665
2019-07-01,4.6420
2019-08-01,4.4810
2019-09-01,4.6245
2019-10-01,4.6395
2019-11-01,4.8585
2019-12-01,4.9570
2020-01-01,4.8415
2020-02-01,4.3780
2020-03-01,3.5635
2020-04-01,4.0220
2020-05-01,4.2020
2020-06-01,4.2665
2020-07-01,4.2200
2020-08-01,4.4265
2020-09-01,4.4300
2020-10-01,4.4470
2020-11-01,4.9865
2020-12-01,5.2210
2021-01-01,5.4200
2021-02-01,5.6740
2021-03-01,5.9610
2021-04-01,6.0580
2021-05-01,5.9920
2021-06-01,6.1950
2021-07-01,6.1540
2021-08-01,6.3210
2021-09-01,6.2930
2021-10-01,6.4990
2021-11-01,6.3470
2021-12-01,6.5410
2022-01-01,6.0700
2022-02-01,6.1480
2022-03-01,6.2750
2022-04-01,6.1800
2022-05-01,5.9480
2022-06-01,5.4960
2022-07-01,6.1210
2022-08-01,6.0400
2022-09-01,5.6390
2022-10-01,5.9390
2022-11-01,5.9620
2022-12-01,5.6370
2023-01-01,6.0410
2023-02-01,6.1170
2023-03-01,5.8020
2023-04-01,5.7120
2023-05-01,5.7070
2023-06-01,5.9660
2023-07-01,6.1840
2023-08-01,6.0690
2023-09-01,5.9100
2023-10-01,5.5400
2023-11-01,5.8510
2023-12-01,6.3760
2024-01-01,6.3180
2024-02-01,6.4790
2024-03-01,6.7610
2024-04-01,6.5060
2024-05-01,6.6130
2024-06-01,6.6170
2024-07-01,7.0070
2024-08-01,6.8420
2024-09-01,6.9520
2024-10-01,6.9670
2024-11-01,7.6190
2024-12-01,7.2160
2025-01-01,7.5730
2025-02-01,7.2370
2025-03-01,6.7070
2025-04-01,6.4260
2025-05-01,6.8100
2025-06-01,6.8930
2025-07-01,7.1970
2025-08-01,7.3550
2025-09-01,7.4310
2025-10-01,7.6280
2025-11-01,7.7290
2025-12-01,7.7800
2026-01-01,8.0440
2026-02-01,8.4060
2026-03-01,7.8950
2026-04-01,8.4880
2026-05-01,8.8790
2026-06-01,9.2250
2026-07-01,9.2220
