date,close
2024-02-01,225.0000
2024-03-01,234.4500
2024-04-01,231.8000
2024-05-01,240.0500
2024-06-01,237.2500
2024-07-01,240.8500
2024-08-01,244.2000
2024-09-01,243.7000
2024-10-01,235.4000
2024-11-01,238.0500
2024-12-01,236.3000
2025-01-01,252.3000
2025-02-01,261.1500
2025-03-01,251.0000
2025-04-01,249.6000
2025-05-01,262.3500
2025-06-01,258.9000
2025-07-01,261.4000
2025-08-01,263.9500
2025-09-01,267.8000
2025-10-01,274.8500
2025-11-01,277.5000
2025-12-01,285.5000
2026-01-01,294.9500
2026-02-01,305.8000
2026-03-01,282.7500
2026-04-01,298.0500
2026-05-01,307.3500
2026-06-01,312.3000
