date,close
2018-10-01,4.8482
2018-11-01,4.4170
2018-12-01,4.3190
2019-01-01,4.6545
2019-02-01,4.7345
2019-03-01,4.8485
2019-04-01,4.9460
2019-05-01,4.6400
2019-06-01,4.8035
2019-07-01,4.8470
2019-08-01,4.6690
2019-09-01,4.8135
2019-10-01,4.8670
2019-11-01,4.9520
2019-12-01,5.2550
2020-01-01,4.9820
2020-02-01,4.7585
2020-03-01,4.1040
2020-04-01,4.4200
2020-05-01,4.3895
2020-06-01,4.7270
2020-07-01,4.8560
2020-08-01,4.9415
2020-09-01,5.0050
2020-10-01,5.1090
2020-11-01,5.4490
2020-12-01,5.6710
2021-01-01,5.9190
2021-02-01,6.0060
2021-03-01,6.1550
2021-04-01,6.1320
2021-05-01,6.1650
2021-06-01,6.3550
2021-07-01,6.0030
2021-08-01,6.1250
2021-09-01,6.0460
2021-10-01,6.0920
2021-11-01,5.9950
2021-12-01,6.0170
2022-01-01,6.0640
2022-02-01,5.8200
2022-03-01,5.7540
2022-04-01,5.7310
2022-05-01,5.5980
2022-06-01,5.3590
2022-07-01,5.5130
2022-08-01,5.5790
2022-09-01,5.0890
2022-10-01,4.9270
2022-11-01,5.3770
2022-12-01,5.1360
2023-01-01,5.4760
2023-02-01,5.2450
2023-03-01,5.2590
2023-04-01,5.1430
2023-05-01,5.1920
2023-06-01,5.3300
2023-07-01,5.5730
2023-08-01,5.3480
2023-09-01,5.3180
2023-10-01,5.0870
2023-11-01,5.3670
2023-12-01,5.4860
2024-01-01,5.3660
2024-02-01,5.5660
2024-03-01,5.7590
2024-04-01,5.8440
2024-05-01,5.8080
2024-06-01,6.1280
2024-07-01,6.1150
2024-08-01,6.0410
2024-09-01,6.3500
2024-10-01,6.2240
2024-11-01,6.2750
2024-12-01,6.2550
2025-01-01,6.4710
2025-02-01,6.4060
2025-03-01,6.1810
2025-04-01,5.9610
2025-05-01,6.2370
2025-06-01,6.4240
2025-07-01,6.6880
2025-08-01,6.6720
2025-09-01,7.0350
2025-10-01,7.4050
2025-11-01,7.3130
2025-12-01,7.3500
2026-01-01,7.8910
2026-02-01,8.3420
2026-03-01,7.5160
2026-04-01,8.4510
2026-05-01,9.2400
2026-06-01,9.4140
