date,close
2015-12-01,4.6460
2016-01-01,4.2400
2016-02-01,4.2970
2016-03-01,4.1650
2016-04-01,4.2310
2016-05-01,4.4700
2016-06-01,4.4990
2016-07-01,4.7190
2016-08-01,4.5670
2016-09-01,4.5060
2016-10-01,4.3380
2016-11-01,4.5890
2016-12-01,4.6420
2017-01-01,4.5570
2017-02-01,4.9910
2017-03-01,4.9270
2017-04-01,4.8880
2017-05-01,4.7840
2017-06-01,4.9360
2017-07-01,4.8270
2017-08-01,4.8250
2017-09-01,4.9030
2017-10-01,4.9800
2017-11-01,4.9670
2017-12-01,4.9800
2018-01-01,5.0910
2018-02-01,4.9865
2018-03-01,4.7450
2018-04-01,4.9540
2018-05-01,5.0950
2018-06-01,5.1835
2018-07-01,5.4700
2018-08-01,5.7420
2018-09-01,5.9160
2018-10-01,5.6660
2018-11-01,6.0000
2018-12-01,5.4230
2019-01-01,5.7270
2019-02-01,5.8570
2019-03-01,5.9280
2019-04-01,5.7740
2019-05-01,5.7120
2019-06-01,5.9110
2019-07-01,6.0470
2019-08-01,6.0070
2019-09-01,6.0510
2019-10-01,6.1900
2019-11-01,6.6060
2019-12-01,6.7650
2020-01-01,6.6320
2020-02-01,6.1370
2020-03-01,6.0390
2020-04-01,6.7930
2020-05-01,6.7640
2020-06-01,6.5510
2020-07-01,6.6180
2020-08-01,6.7640
2020-09-01,6.7140
2020-10-01,6.5090
2020-11-01,6.8270
2020-12-01,6.8790
2021-01-01,7.1220
2021-02-01,7.0190
2021-03-01,7.5130
2021-04-01,7.5840
2021-05-01,7.5990
2021-06-01,8.0130
2021-07-01,8.4130
2021-08-01,8.6510
2021-09-01,8.4300
2021-10-01,8.7020
2021-11-01,8.7730
2021-12-01,9.4800
2022-01-01,8.8480
2022-02-01,8.7790
2022-03-01,9.4980
2022-04-01,9.5330
2022-05-01,9.3600
2022-06-01,9.3340
2022-07-01,9.8600
2022-08-01,9.5240
2022-09-01,9.6620
2022-10-01,10.2920
2022-11-01,10.0820
2022-12-01,9.7930
2023-01-01,9.3520
2023-02-01,9.2310
2023-03-01,9.1550
2023-04-01,9.3110
2023-05-01,9.1690
2023-06-01,9.3900
2023-07-01,9.3950
2023-08-01,9.5930
2023-09-01,9.5060
2023-10-01,9.0980
2023-11-01,9.3200
2023-12-01,9.6230
2024-01-01,10.1460
2024-02-01,10.4700
2024-03-01,10.7180
2024-04-01,10.2860
2024-05-01,10.2860
2024-06-01,10.7240
2024-07-01,10.9040
2024-08-01,11.0620
2024-09-01,10.8140
2024-10-01,10.7160
2024-11-01,10.9980
2024-12-01,10.4380
2025-01-01,11.2640
2025-02-01,11.1600
2025-03-01,10.6460
2025-04-01,9.7450
2025-05-01,9.2500
2025-06-01,9.1060
2025-07-01,9.2390
2025-08-01,9.2890
2025-09-01,9.3200
2025-10-01,9.9530
2025-11-01,10.8280
2025-12-01,10.6100
2026-01-01,10.3860
2026-02-01,10.7660
2026-03-01,10.1380
2026-04-01,9.9680
2026-05-01,10.2840
2026-06-01,11.3140
