date,close
2017-11-01,4.9901
2017-12-01,5.0050
2018-01-01,4.9467
2018-02-01,4.9267
2018-03-01,4.9583
2018-04-01,4.9276
2018-05-01,4.9170
2018-06-01,4.9346
2018-07-01,4.9244
2018-08-01,4.9235
2018-09-01,4.8927
2018-10-01,4.8749
2018-11-01,4.8819
2018-12-01,4.9348
2019-01-01,4.9829
2019-02-01,4.9710
2019-03-01,5.0532
2019-04-01,5.0338
2019-05-01,5.0910
2019-06-01,5.1488
2019-07-01,5.1808
2019-08-01,5.2848
2019-09-01,5.2396
2019-10-01,5.2240
2019-11-01,5.2044
2019-12-01,5.1846
2020-01-01,5.2654
2020-02-01,5.3000
2020-03-01,5.2406
2020-04-01,5.2756
2020-05-01,5.2990
2020-06-01,5.3398
2020-07-01,5.3780
2020-08-01,5.3298
2020-09-01,5.3386
2020-10-01,5.3444
2020-11-01,5.3776
2020-12-01,5.3762
2021-01-01,5.3538
2021-02-01,5.2390
2021-03-01,5.2400
2021-04-01,5.2440
2021-05-01,5.2506
2021-06-01,5.2746
2021-07-01,5.3320
2021-08-01,5.3184
2021-09-01,5.2586
2021-10-01,5.2468
2021-11-01,5.2762
2021-12-01,5.2490
2022-01-01,5.1534
2022-02-01,5.0910
2022-03-01,4.9823
2022-04-01,4.8297
2022-05-01,4.8155
2022-06-01,4.7298
2022-07-01,4.8550
2022-08-01,4.7103
2022-09-01,4.5201
2022-10-01,4.5126
2022-11-01,4.5745
2022-12-01,4.5394
2023-01-01,4.6248
2023-02-01,4.5389
2023-03-01,4.6297
2023-04-01,4.6428
2023-05-01,4.6124
2023-06-01,4.6015
2023-07-01,4.5959
2023-08-01,4.5817
2023-09-01,4.5005
2023-10-01,4.4594
2023-11-01,4.6009
2023-12-01,4.7374
2024-01-01,4.7231
2024-02-01,4.6866
2024-03-01,4.7217
2024-04-01,4.6391
2024-05-01,4.6693
2024-06-01,4.7090
2024-07-01,4.7830
2024-08-01,4.8380
2024-09-01,4.8795
2024-10-01,4.8022
2024-11-01,4.8609
2024-12-01,4.8131
2025-01-01,4.8250
2025-02-01,4.8716
2025-03-01,4.8473
2025-04-01,4.8866
2025-05-01,4.8475
2025-06-01,4.8854
2025-07-01,4.8823
2025-08-01,4.8935
2025-09-01,4.9240
2025-10-01,4.9516
2025-11-01,4.9486
2025-12-01,4.9475
2026-01-01,4.9397
2026-02-01,5.0026
2026-03-01,4.8981
2026-04-01,4.9093
2026-05-01,4.9342
2026-06-01,4.9478
2026-07-01,4.9216
